agency_id,route_id,route_short_name,route_long_name,route_type,route_desc,route_url,route_color,route_text_color
MTA NYCT,A,A,8 Avenue Express,1,"Trains operate between Inwood-207 St, Manhattan and Far Rockaway-Mott Avenue, Queens at all times. Also from about 6 AM until about midnight, additional trains operate between Inwood-207 St and Lefferts Boulevard (trains typically alternate between Lefferts Blvd and Far Rockaway). During weekday morning rush hours, special trains operate from Rockaway Park-Beach 116 St, Queens, toward Manhattan. These trains make local stops between Rockaway Park and Broad Channel. Similarly, in the evening rush hour special trains leave Manhattan operating toward Rockaway Park-Beach 116 St, Queens.",http://web.mta.info/nyct/service/pdf/tacur.pdf,2850AD,FFFFFF
MTA NYCT,B,B,6 Avenue Express,1,"Trains operate, weekdays only, between 145 St, Manhattan, and Brighton Beach, Brooklyn at all times except late nights. The route extends to Bedford Park Blvd, Bronx, during rush hours.",http://web.mta.info/nyct/service/pdf/tbcur.pdf,FF6319,
MTA NYCT,C,C,8 Avenue Local,1,"Trains operate between 168 St, Manhattan, and Euclid Av, Brooklyn, daily from about 6 AM to 11 PM.",http://web.mta.info/nyct/service/pdf/tccur.pdf,2850AD,FFFFFF
MTA NYCT,D,D,6 Avenue Express,1,"Trains operate, at all times, from 205 Street, Bronx, to Stillwell Avenue, Brooklyn via Central Park West and 6th Avenue in Manhattan, and via the Manhattan Bridge to and from Brooklyn. When in Brooklyn trains operate via 4th Avenue then through Bensonhurst to Coney Island. Trains typically operate local in the Bronx, express in Manhattan, and local in Brooklyn. But please note that Bronx rush hour trains operate express (peak direction ONLY), and Brooklyn trains operate express along the 4th Avenue segment (all times except late nights).",http://web.mta.info/nyct/service/pdf/tdcur.pdf,FF6319,
MTA NYCT,E,E,8 Avenue Local,1,"Trains operate between Jamaica Center (Parsons/Archer), Queens, and World Trade Center, Manhattan, at all times. E trains operate express in Queens at all times except late nights when they operate local.",http://web.mta.info/nyct/service/pdf/tecur.pdf,2850AD,FFFFFF
MTA NYCT,F,F,Queens Blvd Express/ 6 Av Local,1,"Trains operate at all times between Jamaica-179 St, Queens, and Stillwell Av, Brooklyn via the 63 St Connector (serving 21 St-Queensbridge, Roosevelt Island, Lexington Av-63 St, and 57 St-6 Av). F trains operate local in Manhattan and express in Queens at all times.",http://web.mta.info/nyct/service/pdf/tfcur.pdf,FF6319,
MTA NYCT,FS,S,Franklin Avenue Shuttle,1,"Train provides full time connecting service between the A and C at the Franklin Av/Fulton St station, and the Q at the Prospect Park/Empire Blvd station. A free transfer is also available at the Botanic Garden/Eastern Parkway Station to the 2, 3, 4, and 5 service.",http://web.mta.info/nyct/service/pdf/tscur.pdf,,
MTA NYCT,FX,FX,Brooklyn F Express,1,"Trains operate rush hour only between Jamaica-179 St, Queens, and Stillwell Av, Brooklyn, weekday mornings toward Manhattan, weekday afternoons toward Coney Island. These trains operate express in Brooklyn between Church Av and Jay St-MetroTech for two trips each rush hour period.",http://web.mta.info/nyct/service/pdf/tfcur.pdf,FF6319,
MTA NYCT,G,G,Brooklyn-Queens Crosstown,1,"Trains operate between Court Square, Queens and Church Av, Brooklyn on weekdays, late nights, and weekends.",http://web.mta.info/nyct/service/pdf/tgcur.pdf,6CBE45,
MTA NYCT,GS,S,42 St Shuttle,1,"Operates in Manhattan between Grand Central and Times Square. The shuttle provides a free transfer between 4, 5, 6, and 7 service at Grand Central-42 St and A, C, E, N, Q, R, W, 1, 2, 3, and 7 service at Times Square-42 St. The shuttle runs at all times except during late nights, from about 12 midnight to 6 AM.",http://web.mta.info/nyct/service/pdf/t0cur.pdf,6D6E71,
MTA NYCT,H,S,Rockaway Park Shuttle,1,"Service operates at all times between Broad Channel, and Rockaway Park, Queens.",http://web.mta.info/nyct/service/pdf/thcur.pdf,,
MTA NYCT,J,J,Nassau St Local,1,"Trains operate weekdays between Jamaica Center (Parsons/Archer), Queens, and Broad St, Manhattan at all times. During weekdays, Trains going to Manhattan run express in Brooklyn between Myrtle Av and Marcy Av from about 7 AM to 1 PM and from Manhattan from 1:30 PM and 8 PM. During weekday rush hours, trains provide skip-stop service. Skip-stop service means that some stations are served by J trains, some stations are served by the Z trains, and some stations are served by both J and Z trains. J/Z skip-stop service runs towards Manhattan from about 7 AM to 8:15 AM and from Manhattan from about 4:30 PM to 5:45 PM.",http://web.mta.info/nyct/service/pdf/tjcur.pdf,996633,
MTA NYCT,L,L,14 St-Canarsie Local,1,"Trains operate between 8 Av/14 St, Manhattan, and Rockaway Pkwy/Canarsie, Brooklyn, at all times.",http://web.mta.info/nyct/service/pdf/tlcur.pdf,A7A9AC,
MTA NYCT,M,M,Queens Blvd Local/6 Av Local,1,"Trains operate between Middle Village-Metropolitan Avenue, Queens and Myrtle Avenue, Brooklyn at all times. Service is extended weekdays (except late nights) Continental Ave, Queens, All trains provide local service.",http://web.mta.info/nyct/service/pdf/tmcur.pdf,FF6319,
MTA NYCT,N,N,Broadway Local,1,"Trains operate from Astoria-Ditmars Boulevard, Queens, to Stillwell Avenue, Brooklyn, at all times. N trains in Manhattan operate along Broadway and across the Manhattan Bridge to and from Brooklyn. Trains in Brooklyn operate along 4th Avenue, then through Borough Park and Gravesend. Trains typically operate local in Queens and express in Manhattan and Brooklyn. Late night trains operate local in Manhattan and to/from Brooklyn via Whitehall St, Manhattan. Weekends N trains operate local in Manhattan.",http://web.mta.info/nyct/service/pdf/tncur.pdf,FCCC0A,
MTA NYCT,Q,Q,Broadway Express,1,"Trains operate between 96 St-2 Av, Manhattan, and Stillwell Av, Brooklyn at all times. Trains operate local in Brooklyn at all times. Train operate express in Manhattan at all times, except late nights when trains operate local in Manhattan.",http://web.mta.info/nyct/service/pdf/tqcur.pdf,FCCC0A,
MTA NYCT,R,R,Broadway Local,1,"Trains operate local between Forest Hills-71 Av, Queens, and 95 St/4 Av, Brooklyn, at all times except late nights. During late nights, trains operate between Whitehall St-South Ferry, Manhattan and 95 St/4 Av, Brooklyn",http://web.mta.info/nyct/service/pdf/trcur.pdf,FCCC0A,
MTA NYCT,SI,SIR,Staten Island Railway,2,"Service runs 24 hours a day between the St George and Tottenville terminals. At the St George terminal, customers can make connections with Staten Island Ferry service to Manhattan.",http://web.mta.info/nyct/service/pdf/sircur.pdf,,
MTA NYCT,W,W,Broadway Local,1,"Trains operate from Astoria-Ditmars Boulevard, Queens, to Whitehall St, Manhattan, on weekdays only.",http://web.mta.info/nyct/service/pdf/twcur.pdf,FCCC0A,
MTA NYCT,Z,Z,Nassau St Express,1,"Trains operate weekday rush hours only. During weekday rush hours, J and Z trains provide skip-stop service. Skip-stop service means that some stations are served by J trains, some stations are served by the Z trains, and some stations are served by both J and Z trains. J/Z skip-stop service runs towards Manhattan from about 7 AM to 8:15 AM and from Manhattan from about 4:30 PM to 5:45 PM.",http://web.mta.info/nyct/service/pdf/tjcur.pdf,996633,
